Công Huyền Tôn Nữ Thanh Tâm
Duống Mý Tảy Dhổ Dưng Ken
Fluid Tech Australia Pty Ltd
Global Industries Asia Pacific Pte
Hữu xạ tự nhiên hương
Khâm định Đại Nam hội điển sự lệ
Liêng Hot Sa Mu El
Lê Thị Tiên Nữ Kiều Duyên
Phong Thấp Cốt Thống Hoàn
Phong Thấp Tê Bại Cốt Thống Hoàn
Poỏng Sắc Vông Pha Nít Cha Lơn
Quốc triều chính biên toát yếu
Thanh Can Sát Độc Hoàn
The Village of Ben Suc
Thiên Trung Viêm Xoang Hoàn
Toản nam tứ chí lộ đồ thư
Toản tập An Nam lô
Trong cái rủi có cái may
Tôn Nữ Hồ Lan Anh
Tổng liên đoàn Lao động
bán chạy như tôm tươi
bán mặt cho đất bán lưng cho trời
bỏ của chạy lấy người
chất độc màu da cam
chất độc màu da cam
chắc như đinh đóng cột
chọn mặt để gửi vàng
chủ nghĩa thực dân mới
cá lớn nuốt cá bé
cái khó ló cái khôn
cái sảy nảy cái ung
góp gạo thổi cơm chung
hổ phụ sinh hổ tử
kế hoạch hoá gia đình
luật Tố tụng Dân sự
luật Tố tụng hình sự
luật tố tụng dân sự
luật tố tụng hình sự
lá lành đùm lá rách
máy bay không người lái
máy vi tính xách tay
máy điều hoà không khí
máy điều hoà nhiệt độ
máy điện thoại di động
mất bò mới lo làm chuồng
mất cả chì lẫn chài
nghĩa tử là nghĩa tận
nhà công nghiệp và đầu tư
nhà hoạt động thực tiễn
nhà khoa học kỹ thuật
nhà khoa học xã hội
nhà phân loại thực vật
nhà quản lý nội vụ và nghiên cứu luật
nhà tư vấn giám sát
nhà tư vấn thiết kế
nội bất xuất ngoại bất nhập
râu ông nọ cắm cằm bà kia
sống lâu lên lão làng
thuế giá trị gia tăng
thà bắt nhầm còn hơn bỏ sót
thùng rỗng thì kêu to
tổng sản phẩm trong nước
vạn sự khởi đầu nan
vắng như chùa Bà Đanh
vẽ đường cho hươu chạy
vừa đá bóng vừa thổi còi
Đông Nam Dược Ngọc Liên
Đại Nam nhất thống chí
Đại Nam nhất thống toàn đồ
Đại Nam thực lục chính biên
Đại Nam thực lục tiền biên
đi đêm có ngày gặp ma
được ăn cả ngã về không
đếm trên đầu ngón tay
đồng tiền liền với khúc ruột
